# area = 15000
# zmin   zm     zmax      dn3        bias
0.90    1.00    1.10    1815.0    1.4614804
1.10    1.20    1.30    1701.5    1.6060949
1.30    1.40    1.50    1410.0    1.7464790
1.50    1.65    1.80    940.97    1.8988660

