# area = 14000
# zmin   zm     zmax      dn3        bias
0.00    0.05    0.10    1165      1.36436355
0.10    0.15    0.20    3074      1.38771958
0.20    0.25    0.30    1909      1.41026411
0.30    0.35    0.40    732       1.4321875
0.40    0.45    0.50    120       1.45366915

