# omch2 ombh2 h ns 10^9As b0 loglike weights
1.043770587325084376e-01 2.325511957153853643e-02 6.318667167639832050e-01 9.731839697278317214e-01 2.860656005720940698e+00 5.581308263598163677e-01 0.000000000000000000e+00 -8.644753169460169738e+05
8.814864666635695289e-02 1.503987871689101488e-02 6.191657469372356948e-01 9.902043876714408110e-01 2.440489084026861821e+00 2.311243636407446900e+00 0.000000000000000000e+00 -9.080079189587209839e+05
1.418592538972649475e-01 1.644692706817856009e-02 6.357305566348063763e-01 9.917225054424068098e-01 2.674029816681949612e+00 1.435240226662196417e+00 0.000000000000000000e+00 -7.605275542062377790e+05
1.278893608378773583e-01 2.511961181437388085e-02 6.300773217032096252e-01 9.843702065225672371e-01 2.291642037580923219e+00 2.378144367953213045e+00 0.000000000000000000e+00 -1.350197212185175391e+06
1.423778040556654967e-01 2.200022466133445126e-02 6.785348173366055891e-01 9.508619294550286760e-01 2.597851165968934062e+00 1.454834105843293646e+00 0.000000000000000000e+00 -6.605320394606260816e+05
1.504547491433968487e-01 1.550728578695182054e-02 6.959646055249408825e-01 9.838897943183448902e-01 2.104722198886453288e+00 2.157702697190826413e+00 0.000000000000000000e+00 -1.561976271724319551e+06
1.429599217353450247e-01 1.608216083168464983e-02 7.341090884833327834e-01 9.931226182295032068e-01 2.710629816634017697e+00 2.785134639264790768e-01 0.000000000000000000e+00 -2.876018714260292239e+06
1.115900926174576702e-01 1.737717671379459400e-02 6.943510443063899418e-01 9.681995470308083496e-01 2.799140725727852441e+00 1.696354961170837949e+00 0.000000000000000000e+00 -7.768218091928698123e+05
1.449504019487707629e-01 2.099190393276362948e-02 7.168825997530264837e-01 9.581087723540196999e-01 2.185153353607767190e+00 2.133586811346143364e+00 0.000000000000000000e+00 -1.383330582628428936e+06
1.593338820376390408e-01 2.123030666146074816e-02 7.352745715796066284e-01 9.868076312864962896e-01 2.779091256395016529e+00 2.081441541151915153e+00 0.000000000000000000e+00 -1.873313235611232929e+06
1.071372600982306023e-01 1.624906380341090487e-02 6.323690644288014751e-01 9.627945441258278780e-01 2.559080910029233991e+00 2.840156827084607816e-01 0.000000000000000000e+00 -4.778793614682546817e+06
1.574808855577002620e-01 2.704072492061260213e-02 6.461213517284094543e-01 9.257753193712422446e-01 2.713437455731875669e+00 1.596111281210793820e+00 0.000000000000000000e+00 -9.292087800470050424e+05
9.346945275132188813e-02 2.651944666553117738e-02 6.578833400861145986e-01 9.779797243742071045e-01 2.145323196202853833e+00 7.555245403335797416e-01 0.000000000000000000e+00 -8.528231444673350779e+05
