# loglike weights omch2 ombh2 h ns 10^9As b0
1.011190916997284778e-01 2.186758453715633571e-02 6.777099201842293752e-01 9.241962345953067537e-01 2.440025116505080582e+00 5.295634413940703000e-01 0.000000000000000000e+00 -1.889048138214664767e+06
1.160030832792087879e-01 2.096708602396247720e-02 6.477974435288954558e-01 9.247812055630435513e-01 2.676268656129949797e+00 1.419851636251786786e+00 0.000000000000000000e+00 -2.791567432347871363e+05
1.181631385937539913e-01 2.152508953803103364e-02 6.675602833529046265e-01 9.842158103487318455e-01 2.779185657216101557e+00 5.495772382292252178e-01 0.000000000000000000e+00 -7.800409849129491486e+05
1.518318403094837676e-01 2.551166020631666018e-02 6.729144121661914113e-01 9.561267049070923951e-01 2.475437534840585485e+00 1.335032452475208409e+00 0.000000000000000000e+00 -3.940200726438580314e+05
1.057418595331788697e-01 2.412922452984104724e-02 7.180197169690412107e-01 9.445758841572374775e-01 2.181970426664376461e+00 8.383563770903835755e-01 0.000000000000000000e+00 -3.579344191985782236e+05
1.221954826691050294e-01 1.834669843487374274e-02 6.512598634791976204e-01 9.258395057157251529e-01 2.310465028919990615e+00 1.333231811580423809e+00 0.000000000000000000e+00 -1.757533353837166214e+05
1.024932283064704241e-01 1.846839958968153270e-02 6.121392013405190236e-01 9.503064718507021613e-01 2.584207255064113973e+00 1.481187360924695051e+00 0.000000000000000000e+00 -2.113316787769493822e+05
1.487139057399335385e-01 2.107636965105275789e-02 6.678183394770498271e-01 9.843053001493627940e-01 2.597060174949448186e+00 1.182321241098408526e+00 0.000000000000000000e+00 -2.954160163771606167e+05
9.665089989820284389e-02 1.813655094040477964e-02 6.658590918328920472e-01 9.648165317709004318e-01 2.686696559099371662e+00 6.285262787562767572e-01 0.000000000000000000e+00 -8.388025258825832279e+05
1.080567525606256907e-01 2.501641548468836948e-02 6.500816107451190540e-01 9.977044668067736044e-01 2.156882600193161359e+00 7.323150743944402130e-01 0.000000000000000000e+00 -6.825074825193177676e+05
