,Omegam,Omegab,h,ns,sigma8,AIA,betaIA,etaIA
Omegam,3705250.876943709,-415445.43181175616,150616.42057516845,221050.17149715085,2650059.59346858,-2900.346730033164,4724.658884893726,-2676.526823257084
Omegab,-415445.43181175616,218211.3575275043,-51766.832397802515,-64669.52269569991,-269958.80953081825,1156.5792416528545,-782.4121589547402,1503.8196667210748
h,150616.42057516845,-51766.832397802515,14452.337222388343,21514.63595701875,99183.47019958725,-333.7817802956813,310.40082382855655,-398.6574905804177
ns,221050.17149715085,-64669.52269569991,21514.63595701875,39314.641302992095,139775.98457142062,-569.9106377964922,609.0141606688687,-646.4845141419407
sigma8,2650059.59346858,-269958.80953081825,99183.47019958725,139775.98457142062,1932929.4155871593,-1474.754922899446,2778.690508998192,-1220.423100276893
AIA,-2900.346730033164,1156.5792416528545,-333.7817802956813,-569.9106377964922,-1474.754922899446,69.3860686511629,-29.296101288789618,96.6200003199687
betaIA,4724.658884893726,-782.4121589547402,310.40082382855655,609.0141606688687,2778.690508998192,-29.296101288789618,45.071135513471546,-27.471887643541237
etaIA,-2676.526823257084,1503.8196667210748,-398.6574905804177,-646.4845141419407,-1220.423100276893,96.6200003199687,-27.471887643541237,140.1240320727374
