# Omegam Omegab h ns sigma8 lnbgs8_1 lnbgs8_2 lnbgs8_3 lnbgs8_4 Ps_1 Ps_2 Ps_3 Ps_4
5536235.779654844	-2547406.8573933626	-160483.12661502135	498420.4023906557	804603.1232841695	1137178.0581237916	1112843.753512232	931715.8224813355	841350.1220527602	116.24921731263433	108.47762399572639	87.267986554718	76.72663364084445
-2547406.8573933626	5110945.086812658	-690072.8903841956	-957200.4773967179	-37610.76631897785	-118732.57028685312	-79614.47160166077	-9694.75348389434	120521.42038051758	-41.81075995209257	-38.57599757552003	-29.918446491325305	-23.519919409932825
-160483.12661502135	-690072.8903841956	245258.50176805453	165298.89546848752	-199553.36807082195	-143103.29320633295	-139678.93344058248	-123263.47017945274	-134959.7407863799	-7.06123587891834	-5.850053028434335	-4.305764922559742	-3.7883793147372344
498420.4023906557	-957200.4773967179	165298.89546848752	268075.27684191393	-25059.28723537443	-8377.389789636334	-20679.472775671355	-35663.88419493329	-71753.48641283283	9.05248332227181	8.064862700167247	5.942102900518931	4.139517260074628
804603.1232841695	-37610.76631897785	-199553.36807082195	-25059.28723537443	314329.15851888753	226173.09935623227	220476.33174065832	188106.3529233666	184258.58330310625	18.01772106413094	16.540105256282924	13.250588227674392	11.967269166897307
1137178.0581237916	-118732.57028685312	-143103.29320633295	-8377.389789636334	226173.09935623227	1080072.241677611	0.0	0.0	0.0	86.55908901435434	0.0	0.0	0.0
1112843.753512232	-79614.47160166077	-139678.93344058248	-20679.472775671355	220476.33174065832	0.0	1093378.2041685334	0.0	0.0	0.0	83.14322097153831	0.0	0.0
931715.8224813355	-9694.75348389434	-123263.47017945274	-35663.88419493329	188106.3529233666	0.0	0.0	962502.5654519954	0.0	0.0	0.0	69.1919917840189	0.0
841350.1220527602	120521.42038051758	-134959.7407863799	-71753.48641283283	184258.58330310625	0.0	0.0	0.0	960360.9678025126	0.0	0.0	0.0	64.2069853820291
116.24921731263433	-41.81075995209257	-7.06123587891834	9.05248332227181	18.01772106413094	86.55908901435434	0.0	0.0	0.0	0.008866386351675639	0.0	0.0	0.0
108.47762399572639	-38.57599757552003	-5.850053028434335	8.064862700167247	16.540105256282924	0.0	83.14322097153831	0.0	0.0	0.0	0.008135249511887379	0.0	0.0
87.267986554718	-29.918446491325305	-4.305764922559742	5.942102900518931	13.250588227674392	0.0	0.0	69.1919917840189	0.0	0.0	0.0	0.006489689727183822	0.0
76.72663364084445	-23.519919409932825	-3.7883793147372344	4.139517260074628	11.967269166897307	0.0	0.0	0.0	64.2069853820291	0.0	0.0	0.0	0.005783250193293283
