1  0.294681	2.250179e+00	1.125867e-01	9.661887e-01	2.398599e+00	6.747121e-01	1.000882e+00	
2  0.616422	2.252801e+00	1.126009e-01	9.640208e-01	2.424247e+00	6.745204e-01	9.952280e-01	
1  1.14626	2.268713e+00	1.129593e-01	9.653419e-01	2.415507e+00	6.748317e-01	9.958959e-01	
1  1.2519	2.295689e+00	1.130791e-01	9.660063e-01	2.421654e+00	6.743630e-01	9.962227e-01	
1  1.53827	2.295689e+00	1.130791e-01	9.660063e-01	2.421654e+00	6.743630e-01	9.966755e-01	
1  2.28142	2.209991e+00	1.125382e-01	9.673452e-01	2.387877e+00	6.748975e-01	9.995695e-01	
2  2.60153	2.258632e+00	1.137756e-01	9.652344e-01	2.379965e+00	6.783651e-01	9.971542e-01	
1  2.16965	2.220088e+00	1.131670e-01	9.659172e-01	2.372480e+00	6.772939e-01	9.996591e-01	
1  1.78826	2.233715e+00	1.130004e-01	9.626767e-01	2.410426e+00	6.765964e-01	9.939722e-01	
3  2.01076	2.233715e+00	1.130004e-01	9.626767e-01	2.410426e+00	6.765964e-01	9.941029e-01	
1  1.98925	2.238184e+00	1.130758e-01	9.626558e-01	2.411606e+00	6.759451e-01	9.939538e-01	
1  3.36033	2.157640e+00	1.126175e-01	9.614524e-01	2.395554e+00	6.746100e-01	9.938224e-01	
2  3.29188	2.142669e+00	1.122393e-01	9.630663e-01	2.394155e+00	6.722881e-01	9.956257e-01	
1  3.05499	2.127835e+00	1.120908e-01	9.616031e-01	2.390219e+00	6.736987e-01	9.962550e-01	
2  3.98951	2.105680e+00	1.114531e-01	9.631249e-01	2.406509e+00	6.713703e-01	9.946028e-01	
1  3.03745	2.204849e+00	1.130024e-01	9.618101e-01	2.406823e+00	6.757232e-01	9.925377e-01	
1  1.1767	2.227265e+00	1.127430e-01	9.636770e-01	2.398604e+00	6.770015e-01	9.979346e-01	
1  0.831801	2.227265e+00	1.127430e-01	9.636770e-01	2.398604e+00	6.770015e-01	9.977365e-01	
1  2.10842	2.139592e+00	1.117570e-01	9.611757e-01	2.405419e+00	6.735593e-01	9.961081e-01	
1  2.01323	2.188548e+00	1.126063e-01	9.613409e-01	2.391192e+00	6.792142e-01	9.966287e-01	
1  1.55014	2.164928e+00	1.119263e-01	9.631763e-01	2.399482e+00	6.751618e-01	9.977649e-01	
1  0.978475	2.215568e+00	1.129556e-01	9.619230e-01	2.391059e+00	6.762883e-01	9.978059e-01	
2  1.73256	2.232121e+00	1.138192e-01	9.602599e-01	2.382396e+00	6.773364e-01	9.956170e-01	
1  0.78017	2.278357e+00	1.141857e-01	9.625145e-01	2.365935e+00	6.810844e-01	9.999658e-01	
3  0.725116	2.301010e+00	1.135683e-01	9.669188e-01	2.379133e+00	6.810831e-01	1.001874e+00	
1  0.554889	2.269070e+00	1.132585e-01	9.660428e-01	2.376552e+00	6.791830e-01	1.002468e+00	
1  0.788833	2.269070e+00	1.132585e-01	9.660428e-01	2.376552e+00	6.791830e-01	1.001873e+00	
1  1.12266	2.214496e+00	1.128909e-01	9.633479e-01	2.375296e+00	6.775258e-01	1.000724e+00	
2  2.7078	2.198111e+00	1.130831e-01	9.646889e-01	2.345429e+00	6.790558e-01	1.004247e+00	
1  0.955588	2.189748e+00	1.121451e-01	9.653279e-01	2.380405e+00	6.752652e-01	1.002364e+00	
2  2.43147	2.201058e+00	1.124524e-01	9.688638e-01	2.356418e+00	6.767919e-01	1.005596e+00	
1  1.41284	2.231385e+00	1.127737e-01	9.671700e-01	2.374195e+00	6.753997e-01	1.002980e+00	
1  2.01357	2.175172e+00	1.118630e-01	9.686315e-01	2.365122e+00	6.737894e-01	1.006147e+00	
1  2.3714	2.243780e+00	1.130991e-01	9.650563e-01	2.359756e+00	6.768686e-01	1.006016e+00	
2  1.22699	2.241137e+00	1.124777e-01	9.665063e-01	2.386849e+00	6.731054e-01	1.004085e+00	
1  1.1646	2.241137e+00	1.124777e-01	9.665063e-01	2.386849e+00	6.731054e-01	1.004591e+00	
2  0.808912	2.206433e+00	1.108973e-01	9.667905e-01	2.433873e+00	6.672037e-01	1.002451e+00	
2  0.832358	2.243699e+00	1.107795e-01	9.681295e-01	2.445881e+00	6.695625e-01	1.002859e+00	
1  0.517809	2.196294e+00	1.110768e-01	9.667320e-01	2.417275e+00	6.711985e-01	1.002914e+00	
2  0.295483	2.196294e+00	1.110768e-01	9.667320e-01	2.417275e+00	6.711985e-01	1.002592e+00	
2  0.903435	2.218293e+00	1.119366e-01	9.630198e-01	2.411816e+00	6.729917e-01	1.000755e+00	
1  1.88513	2.186519e+00	1.120312e-01	9.646900e-01	2.375796e+00	6.731838e-01	1.005315e+00	
2  3.17732	2.214541e+00	1.126417e-01	9.666393e-01	2.348096e+00	6.761597e-01	1.009177e+00	
1  1.74766	2.198138e+00	1.126095e-01	9.625610e-01	2.373157e+00	6.754808e-01	1.002903e+00	
2  2.13141	2.236966e+00	1.128320e-01	9.634083e-01	2.372037e+00	6.763748e-01	1.005101e+00	
2  2.03666	2.249113e+00	1.130839e-01	9.651176e-01	2.356707e+00	6.789912e-01	1.006908e+00	
1  1.90534	2.249113e+00	1.130839e-01	9.651176e-01	2.356707e+00	6.789912e-01	1.007052e+00	
1  1.35308	2.342693e+00	1.144297e-01	9.635401e-01	2.365350e+00	6.817949e-01	1.004398e+00	
2  0.905675	2.333404e+00	1.128985e-01	9.685652e-01	2.397133e+00	6.779789e-01	1.006000e+00	
4  1.20211	2.304294e+00	1.127472e-01	9.694841e-01	2.379425e+00	6.782763e-01	1.008153e+00	
