# area = 5000
# zmin   zm     zmax
0.50    0.60    0.70
0.70    0.80    0.90
0.90    1.00    1.10
1.10    1.20    1.30
1.30    1.40    1.50
1.50    1.65    1.80
1.80    1.90    2.00
2.00    2.10    2.20
2.20    2.30    2.40
2.40    2.40    2.60
